INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,DISTRICT,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,STREET
I182070763,1402,Vandalism,B3,3/9/2018 7:44,2018,9,Monday,NORFOLK ST
I182070761,3006,Medical Assistance,E18,3/9/2018 7:38,2018,9,Monday,GARFIELD AVE
I182070760,3301,Verbal Disputes,B2,3/9/2018 7:50,2018,9,Monday,HUCKINS ST
I182070759,614,Larceny From Motor Vehicle,E5,2/9/2018 16:45,2018,9,Sunday,WASHINGTON ST
I182070758,3115,Investigate Person,B3,3/9/2018 7:27,2018,9,Monday,GREENWOOD ST
I182070757,413,Aggravated Assault,A15,3/9/2018 6:23,2018,9,Monday,CAMBRIDGE ST
I182070757,2403,Disorderly Conduct,A15,3/9/2018 6:23,2018,9,Monday,CAMBRIDGE ST
I182070757,3801,Motor Vehicle Accident Response,A15,3/9/2018 6:23,2018,9,Monday,CAMBRIDGE ST
I182070755,3301,Verbal Disputes,B3,3/9/2018 6:44,2018,9,Monday,MASCOT ST
I182070752,3114,Investigate Property,A1,3/9/2018 6:55,2018,9,Monday,ARLINGTON ST
I182070751,3115,Investigate Person,E13,29-08-2018 10:00,2018,8,Wednesday,ARBORWAY
I182070749,3006,Medical Assistance,A1,3/9/2018 4:06,2018,9,Monday,HARVARD ST
I182070747,3115,Investigate Person,E18,3/9/2018 3:50,2018,9,Monday,FAIRLAWN AVE
I182070746,1402,Vandalism,C11,31-08-2018 07:00,2018,8,Friday,BULLARD ST
I182070741,301,Robbery,D14,3/9/2018 3:26,2018,9,Monday,PORTSMOUTH ST
I182070741,423,Aggravated Assault,D14,3/9/2018 3:26,2018,9,Monday,PORTSMOUTH ST
I182070739,3160,Fire Related Reports,B3,3/9/2018 1:00,2018,9,Monday,NORWELL ST
I182070739,900,Arson,B3,3/9/2018 1:00,2018,9,Monday,NORWELL ST
I182070738,2610,Other,B3,3/9/2018 3:43,2018,9,Monday,NORWELL ST
I182070737,3301,Verbal Disputes,D4,3/9/2018 2:58,2018,9,Monday,HUNTINGTON AVE
I182070736,3301,Verbal Disputes,B3,3/9/2018 0:25,2018,9,Monday,WOODHAVEN ST
I182070734,413,Aggravated Assault,A1,3/9/2018 1:33,2018,9,Monday,TREMONT ST
I182070733,3115,Investigate Person,D4,3/9/2018 2:45,2018,9,Monday,BOYLSTON ST
I182070732,3125,Warrant Arrests,A1,3/9/2018 2:26,2018,9,Monday,FAYETTE ST
I182070731,3831,Motor Vehicle Accident Response,A1,3/9/2018 1:32,2018,9,Monday,TREMONT ST
I182070730,3115,Investigate Person,E18,3/9/2018 2:15,2018,9,Monday,BEACON ST
I182070727,3114,Investigate Property,C11,3/9/2018 2:24,2018,9,Monday,WHITBY TER
I182070726,3301,Verbal Disputes,B2,3/9/2018 1:40,2018,9,Monday,WAVERLY ST
I182070725,801,Simple Assault,D14,3/9/2018 2:24,2018,9,Monday,WASHINGTON ST
I182070724,3801,Motor Vehicle Accident Response,,3/9/2018 2:06,2018,9,Monday,
I182070723,3301,Verbal Disputes,B3,3/9/2018 2:02,2018,9,Monday,LYNNVILLE TER
I182070722,3002,Medical Assistance,B2,3/9/2018 1:37,2018,9,Monday,EUSTIS ST
I182070721,802,Simple Assault,A1,3/9/2018 1:19,2018,9,Monday,FANEUIL HALL MARKETPLACE
I182070720,413,Aggravated Assault,C11,3/9/2018 1:00,2018,9,Monday,BOWDOIN AVE
I182070719,2900,Other,E13,3/9/2018 0:51,2018,9,Monday,AMERICAN LEGION HWY
I182070719,3410,Towed,E13,3/9/2018 0:51,2018,9,Monday,AMERICAN LEGION HWY
I182070718,802,Simple Assault,,3/9/2018 1:02,2018,9,Monday,
I182070716,3820,Motor Vehicle Accident Response,A7,3/9/2018 0:40,2018,9,Monday,SUMNER ST
I182070715,3114,Investigate Property,D4,3/9/2018 1:19,2018,9,Monday,SHAWMUT AVE
I182070714,3301,Verbal Disputes,C11,2/9/2018 0:00,2018,9,Sunday,TALBOT AVE
I182070712,802,Simple Assault,C11,2/9/2018 23:59,2018,9,Sunday,DAWSON ST
I182070710,802,Simple Assault,C11,2/9/2018 23:59,2018,9,Sunday,DITSON ST
I182070708,802,Simple Assault,D4,3/9/2018 0:17,2018,9,Monday,SHAWMUT AVE
I182070707,619,Larceny,D14,2/9/2018 23:12,2018,9,Sunday,GORDON ST
I182070706,520,Residential Burglary,C11,2/9/2018 23:33,2018,9,Sunday,BURT ST
I182070706,2007,Restraining Order Violations,C11,2/9/2018 23:33,2018,9,Sunday,BURT ST
I182070703,3801,Motor Vehicle Accident Response,A1,2/9/2018 23:18,2018,9,Sunday,COLUMBUS AVE
I182070702,802,Simple Assault,D4,2/9/2018 23:00,2018,9,Sunday,JERSEY ST
I182070701,1402,Vandalism,C11,2/9/2018 23:20,2018,9,Sunday,DORCHESTER AVE
I182070699,613,Larceny,C6,2/9/2018 22:55,2018,9,Sunday,ALLSTATE RD
I182070698,802,Simple Assault,C11,2/9/2018 23:13,2018,9,Sunday,TAFT ST
I182070696,619,Larceny,D4,2/9/2018 22:15,2018,9,Sunday,COMMONWEALTH AVE
I182070695,3006,Medical Assistance,E18,2/9/2018 22:44,2018,9,Sunday,HARVARD AVE
I182070694,3115,Investigate Person,E18,2/9/2018 22:37,2018,9,Sunday,MALTA ST
I182070693,3114,Investigate Property,B3,2/9/2018 22:36,2018,9,Sunday,BLUE HILL AVE
I182070691,3006,Medical Assistance,A7,2/9/2018 22:31,2018,9,Sunday,CHELSEA ST
I182070690,3114,Investigate Property,B3,2/9/2018 22:34,2018,9,Sunday,W SELDEN ST
I182070689,413,Aggravated Assault,E13,2/9/2018 21:27,2018,9,Sunday,COLUMBUS AVE
I182070688,2405,Disorderly Conduct,A1,2/9/2018 22:47,2018,9,Sunday,BOYLSTON ST
I182070688,2610,Other,A1,2/9/2018 22:47,2018,9,Sunday,BOYLSTON ST
I182070686,3301,Verbal Disputes,B2,2/9/2018 22:02,2018,9,Sunday,HILLSIDE ST
I182070685,413,Aggravated Assault,C11,2/9/2018 22:39,2018,9,Sunday,DORCHESTER AVE
I182070683,3006,Medical Assistance,E13,2/9/2018 21:36,2018,9,Sunday,ROBINWOOD AVE
I182070682,3801,Motor Vehicle Accident Response,A1,2/9/2018 21:47,2018,9,Sunday,SUMMER ST
I182070681,3115,Investigate Person,B2,2/9/2018 22:17,2018,9,Sunday,SLAYTON WAY
I182070680,1402,Vandalism,C6,2/9/2018 21:57,2018,9,Sunday,P ST
I182070680,2648,Bomb Hoax,C6,2/9/2018 21:57,2018,9,Sunday,P ST
I182070679,3108,Fire Related Reports,C11,2/9/2018 21:46,2018,9,Sunday,ADAMS ST
I182070677,2905,Violations,,2/9/2018 22:00,2018,9,Sunday,
I182070677,3802,Motor Vehicle Accident Response,,2/9/2018 22:00,2018,9,Sunday,
I182070675,3115,Investigate Person,D4,2/9/2018 22:05,2018,9,Sunday,BOYLSTON ST
I182070673,3803,Motor Vehicle Accident Response,,2/9/2018 21:51,2018,9,Sunday,
I182070672,3501,Missing Person Reported,C11,2/9/2018 20:35,2018,9,Sunday,COLEMAN ST
I182070671,3006,Medical Assistance,C11,2/9/2018 21:27,2018,9,Sunday,CARSON ST
I182070668,423,Aggravated Assault,B2,2/9/2018 21:12,2018,9,Sunday,CENTRE ST
I182070668,802,Simple Assault,B2,2/9/2018 21:12,2018,9,Sunday,CENTRE ST
I182070667,802,Simple Assault,E18,2/9/2018 20:00,2018,9,Sunday,AMERICAN LEGION HWY
I182070666,2647,Other,C6,2/9/2018 21:30,2018,9,Sunday,E BROADWAY
I182070665,3207,Property Found,D14,2/9/2018 21:50,2018,9,Sunday,WASHINGTON ST
I182070663,613,Larceny,B3,2/9/2018 21:20,2018,9,Sunday,MORTON ST
I182070662,802,Simple Assault,C11,2/9/2018 20:55,2018,9,Sunday,WASHINGTON ST
I182070659,3802,Motor Vehicle Accident Response,B3,2/9/2018 20:30,2018,9,Sunday,TALBOT AVE
I182070657,3803,Motor Vehicle Accident Response,B2,2/9/2018 20:32,2018,9,Sunday,MARTIN LUTHER KING JR BLV
I182070656,3301,Verbal Disputes,B3,2/9/2018 20:34,2018,9,Sunday,PARK ST
I182070655,3802,Motor Vehicle Accident Response,D14,2/9/2018 18:00,2018,9,Sunday,WASHINGTON ST
I182070653,3301,Verbal Disputes,E18,2/9/2018 20:00,2018,9,Sunday,READVILLE ST
I182070652,1402,Vandalism,E13,2/9/2018 20:08,2018,9,Sunday,HORAN WAY
I182070649,613,Larceny,C11,2/9/2018 19:50,2018,9,Sunday,DORCHESTER AVE
I182070648,670,License Plate Related Incidents,A1,2/9/2018 19:30,2018,9,Sunday,TREMONT ST
I182070647,615,Larceny From Motor Vehicle,A1,28-08-2018 20:53,2018,8,Tuesday,TREMONT ST
I182070646,3116,Harbor Related Incidents,,2/9/2018 19:12,2018,9,Sunday,ROWES
I182070645,802,Simple Assault,A1,2/9/2018 20:00,2018,9,Sunday,TREMONT ST
I182070642,3802,Motor Vehicle Accident Response,C6,2/9/2018 20:07,2018,9,Sunday,SEAPORT BLVD
I182070641,3006,Medical Assistance,B2,2/9/2018 19:45,2018,9,Sunday,NAZING CT
I182070640,3301,Verbal Disputes,C6,2/9/2018 19:37,2018,9,Sunday,MASSACHUSETTS AVE
I182070639,3201,Property Lost,D14,31-08-2018 22:00,2018,8,Friday,LINDEN ST
I182070638,1504,Other,D4,2/9/2018 19:21,2018,9,Sunday,BROOKLINE AVE
I182070638,423,Aggravated Assault,D4,2/9/2018 19:21,2018,9,Sunday,BROOKLINE AVE
I182070638,2405,Disorderly Conduct,D4,2/9/2018 19:21,2018,9,Sunday,BROOKLINE AVE
I182070637,3006,Medical Assistance,C11,2/9/2018 19:06,2018,9,Sunday,BARRY ST
I182070636,2629,Harassment,C6,2/9/2018 19:21,2018,9,Sunday,O ST
I182070634,3831,Motor Vehicle Accident Response,B2,31-08-2018 20:00,2018,8,Friday,FAIRLAND ST
I182070631,1830,Drug Violation,A7,2/9/2018 18:54,2018,9,Sunday,SUMNER ST
I182070630,3831,Motor Vehicle Accident Response,,1/9/2018 20:30,2018,9,Saturday,
I182070629,3006,Medical Assistance,B2,2/9/2018 19:03,2018,9,Sunday,WAUMBECK ST
I182070626,614,Larceny From Motor Vehicle,D14,1/9/2018 16:00,2018,9,Saturday,GLENVILLE AVE
I182070625,614,Larceny From Motor Vehicle,B2,2/9/2018 18:58,2018,9,Sunday,ADAMS ST
I182070625,1402,Vandalism,B2,2/9/2018 18:58,2018,9,Sunday,ADAMS ST
I182070624,2405,Disorderly Conduct,,2/9/2018 18:38,2018,9,Sunday,
I182070623,3108,Fire Related Reports,C11,2/9/2018 18:35,2018,9,Sunday,CENTRE ST
I182070622,3820,Motor Vehicle Accident Response,D4,2/9/2018 18:23,2018,9,Sunday,BOYLSTON ST
I182070621,361,Robbery,A7,2/9/2018 18:09,2018,9,Sunday,MARION ST
I182070620,3006,Medical Assistance,B3,2/9/2018 18:06,2018,9,Sunday,MILLET ST
I182070619,802,Simple Assault,D4,2/9/2018 18:33,2018,9,Sunday,SAN JUAN ST
I182070619,2006,Restraining Order Violations,D4,2/9/2018 18:33,2018,9,Sunday,SAN JUAN ST
I182070618,801,Simple Assault,E13,2/9/2018 18:14,2018,9,Sunday,WALDEN ST
I182070617,3831,Motor Vehicle Accident Response,E13,2/9/2018 17:40,2018,9,Sunday,DAY ST
I182070616,3114,Investigate Property,B3,2/9/2018 18:37,2018,9,Sunday,NORFOLK ST
I182070615,1843,Drug Violation,E18,2/9/2018 18:11,2018,9,Sunday,SECOND NEW WAY
I182070615,1849,Drug Violation,E18,2/9/2018 18:11,2018,9,Sunday,SECOND NEW WAY
I182070615,1810,Drug Violation,E18,2/9/2018 18:11,2018,9,Sunday,SECOND NEW WAY
I182070614,3006,Medical Assistance,B2,2/9/2018 17:35,2018,9,Sunday,GEORGE ST
I182070613,3831,Motor Vehicle Accident Response,B2,2/9/2018 18:33,2018,9,Sunday,WALNUT AVE
I182070612,3115,Investigate Person,,2/9/2018 17:41,2018,9,Sunday,
I182070611,3006,Medical Assistance,E18,2/9/2018 17:00,2018,9,Sunday,HYDE PARK AVE
I182070610,724,Auto Theft,B3,2/9/2018 18:20,2018,9,Sunday,SPENCER ST
